id,_id,name,code,sat_code,magnitude,value,created_at,updated_at,deleted_at,is_deleted
4d6ab64b-5c9e-4846-9347-23642ee9696c,5f8638bb05fc1b610cf29ffc,Caja de plástico,caja de plástico,x4h,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
3182c1d9-1ebb-4578-9365-f137a66ceaa5,5f8639a905fc1b610cf29ffd,Hectólitro,Hectpolitro,hlt,volumen,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
2c1df697-9ced-4d15-b903-dc2d1a872777,5f908985278f2f33c865fb0c,Caja de cartón,Caja cartón,x4g,volumen,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
e2fe0dd3-07b9-45b4-a115-be9e2b83cd12,5f98e9ec7f2a437a5b48933c,Metro cúbico,metro3,mtq,volumen,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
ba9d7b03-cd1f-4636-8a2d-edbca6f93e8b,5fac958dde39e4658f99e8f9,Unidad,Uno,c62,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
49448d44-3ed4-4f85-ad95-ebc9e1180afb,5fac97aede39e4658f99e935,Botella sin protección cilíndrica,Bot Cilíndrica,xbo,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
e33bc7f0-eb9e-499f-9559-0560768b9632,5fb6ed9334041d72b649a156,Barril,EURCO,xba,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
d7343ec4-c6f9-4a7a-936e-2ba0a358a5a9,5fb7475e34041d72b649a1a3,Mil pedazos,Mil pedazos,t3,custom,1000,18:01:29.472164+00,18:01:29.472164+00,NULL,False
94d3944e-77d9-409f-9708-a8bd3b5d699e,5fbc144e53959b16681dbc43,Kilo bruto,Kilo bruto,e4,mass,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
98f851a8-29c4-4f46-a0f0-b47bb73262e0,5fbc2c1653959b16681dbc60,Recipiente de plástico en caja de cartón,reci plástico,xyk,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
71123a14-4253-47d2-bdb3-33635a766c46,5fdceec6629a2a5042b5bde3,Paquete a granel,Paq granel,ab,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
bfcafedc-4748-4015-9b6b-7549ea73e3fc,6064e890996059001e105f07,Docena de piezas,DDP,dpc,custom,12,18:01:29.472164+00,18:01:29.472164+00,NULL,False
e60fce82-ba57-4cb3-a3b9-a318eab2184a,6067a12d996059001e106075,Litro X Litro,LxL,k62,volumen,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
e795a99a-e620-4b27-827c-2c7e9c810e54,607600a48d70d5001e7bac9e,Kit de piezas,Kit,xki,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
ea4dee8d-0020-42a3-9d97-6b7c37060a84,6081ef1ed36625001e73bcb7,Tarífa,Tarífa,a9,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
acf42aa7-14c4-4405-b7af-9ed8797ba663,608746e7fbf14a001e9faa46,Mutuamente definido,Mutuamente definido,zz,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
7ea4e3a6-7189-4979-bd4d-8976862b467b,6093076bcf13b6001f4a2b44,No disponible,ND,xna,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
8b380d4b-cb00-4bee-9de1-535e4698389d,60a5242c8b2293001fc5fef3,Kilogramo teórico,Kg. Teo.,53,mass,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
c236a249-bbfd-484a-bafb-9f6e33d0d835,60a6d5f98b2293001fc60070,Carga,Carga,nl,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
