provider,product,contentUnit,createdAt,updatedAt,isDeleted,deletedAt,brand,contentQuantity,status,description,in_stock,external_id,country_id
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a9a,5df8f4def290f74d58745b50,2020-01-02T22:56:54.998Z,2023-06-22T03:18:53.899Z,false,,,1,published,,,,
5e0e753325f58f21dd52bc40,5dfa4d4842c14205ef129a9c,5df8f4def290f74d58745b50,2020-01-02T22:56:55.051Z,2023-03-27T23:09:56.003Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a9e,5df8f4def290f74d58745b54,2020-01-02T22:56:55.082Z,2020-08-08T01:28:19.260Z,false,,,0.5,published,,,,
5dfd6b834af27574322bc21a,6244eb2a832a32001fb5839a,5df8f4def290f74d58745b50,2020-01-02T22:56:55.116Z,2023-09-01T18:55:24.542Z,false,,la fina,1,in-review,BOLSA DE 1 KG,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129aa1,5df8f4def290f74d58745b50,2020-01-02T22:56:55.132Z,2023-06-01T00:38:12.089Z,false,,pragna,1.9,published,BOTE DE 1.9 KG,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129aa2,5df8f4def290f74d58745b54,2020-01-02T22:56:55.145Z,2020-08-08T01:28:19.675Z,false,,,0.5,published,,,,
5e0e753325f58f21dd52bc3f,5dfa4d4842c14205ef129aa4,5df8f4def290f74d58745b54,2020-01-02T22:56:55.177Z,2021-11-11T00:25:48.845Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129aa5,5df8f4def290f74d58745b54,2020-01-02T22:56:55.197Z,2023-07-22T00:41:09.480Z,false,,,0.5,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129aa5,5df8f4def290f74d58745b54,2020-01-02T22:56:55.209Z,2023-05-04T22:36:35.931Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129aa9,5df8f4def290f74d58745b4e,2020-01-02T22:56:55.316Z,2022-03-31T17:46:28.489Z,false,,,0.5,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129aaa,5df8f4def290f74d58745b50,2020-01-02T22:56:55.334Z,2023-08-22T19:27:30.724Z,false,,maizena,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129aad,5df8f4def290f74d58745b54,2020-01-02T22:56:55.409Z,2023-07-22T01:15:45.895Z,false,,barrilito,3.9,published,PIEZA DE 3.9 LT,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129aad,5df8f4def290f74d58745b54,2020-01-02T22:56:55.416Z,2023-08-26T04:20:58.535Z,false,,barrilito,1,published,,,,
5e0e753325f58f21dd52bc40,5dfa4d4942c14205ef129ab0,5df8f4def290f74d58745b50,2020-01-02T22:56:55.442Z,2023-03-27T23:07:36.431Z,false,,,12,published,,,,
5e0e753325f58f21dd52bc40,5dfa4d4942c14205ef129ab1,5df8f4def290f74d58745b50,2020-01-02T22:56:55.458Z,2022-04-27T20:32:11.117Z,false,,,12,published,,,,
5e0e753325f58f21dd52bc40,5dfa4d4942c14205ef129ab2,5df8f4def290f74d58745b50,2020-01-02T22:56:55.470Z,2023-03-23T18:57:28.936Z,false,,,12,published,,,,
